,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_1,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_2,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_3,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_4,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_5,Pressure_6,Pressure_6,Pressure_6,Pressure_6,Pressure_6,Pressure_7,Pressure_7,Pressure_7,Pressure_7,Pressure_8,Pressure_8,Pressure_8,Pressure_9,Pressure_9,Pressure_10
,Pressure_2,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_5,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_6,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_7,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_8,Pressure_9,Pressure_10,Pressure_11,Pressure_9,Pressure_10,Pressure_11,Pressure_10,Pressure_11,Pressure_11
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-1.8115655235423276,-3.7986780704447085,-3.3739945767975996,-2.5109872451788817,-3.0588197133578774,-3.069562681662788,-2.0946139682881437,-2.1100380026173298,0.0,-3.8227325997885515,-3.070744581047194,-2.756196403235819,-1.746737129153729,-2.4209701697230344,-2.466200766362391,-1.679497621512354,-1.817566344760948,0.0,-3.1020986738262337,0.05304133598671967,0.946730143374225,0.3083698396971073,0.22749567716937236,0.48717316727292825,0.2203371359473607,0.0,-0.029619296728128575,0.9072451441443263,0.2684943520185783,0.19346599373153595,0.5334877952381873,0.289538900483592,0.0,-0.12442434292415783,-0.7065465179668422,-0.7777176593465356,-0.25295214781147024,-0.4820849829140883,0.0,-1.235244101035292,-0.07356015397508031,0.3360397725416533,0.09870522248641578,0.0,-0.44641108068269375,0.40768159023569694,0.17420117303889526,0.0,-0.37087377762090057,-0.18274656498937247,0.0,-1.1624712773585912,0.0,-1.0549687811808184,-2.864128112792926
1.0,-1.2135910621401536,-2.7276224486199965,-2.272450836853892,-1.496029403135367,-1.9697888865615312,-1.9673680361813695,-0.9593490442151165,-0.9243707414165243,0.0,-2.748192196906224,-2.4114695643160076,-2.0290769260369217,-1.1137181456963106,-1.7016364891162112,-1.7261921807230038,-0.8351555337315801,-0.8960404932860229,0.0,-2.438636494734183,0.15756218736837013,1.0713826109080316,0.44335825865847767,0.37835562045476934,0.8330371849279743,0.6271557644839021,0.0,-0.029655984485501108,0.9271517396913396,0.2961939009480119,0.23547610820419607,0.7531062703492069,0.5635709366036679,0.0,-0.2193757104980847,-0.6588980945804508,-0.7114869507539794,-0.03574299796990488,-0.19623612451314898,0.0,-1.2809749461037399,-0.05836555785722908,0.5176108714557586,0.3369951750825777,0.0,-0.5571381454126509,0.5710069279266179,0.3910381710434905,0.0,-0.49501690263663534,-0.1532162370325949,0.0,-1.273733972747479,0.0,-1.1226386587952675,-1.5347137451172301
2.0,-0.8384893702358056,-1.604294445106234,-1.4904913684746077,-1.2555560162061994,-1.361096377374551,-1.372853269267921,-1.1962161631650048,-1.196195852543113,0.0,-1.609110669869743,-1.5464350744461655,-1.4819778832543733,-1.112821651908277,-1.3248398847870675,-1.3588614586138448,-1.2545047876949411,-1.3335472027409594,0.0,-1.557407775433596,-0.09986690361579065,0.36078365575720284,0.05239775384688983,-0.020450268510202818,-0.2191810019922258,-0.4366059513851326,0.0,-0.016554049604529553,0.45677114584619005,0.15054545210610115,0.07720077520023949,-0.13161646707398234,-0.3506406484320195,0.0,0.08810297473160489,-0.31096390050829825,-0.379389560329642,-0.5170098217353285,-0.7186908882033123,0.0,-0.4188366274361002,-0.07200120886689376,-0.2548800076266673,-0.46904296552261826,0.0,-0.08004870287678756,-0.19285792566637383,-0.40891448690030074,0.0,-0.0009729365593571515,-0.21450572507731636,0.0,0.18318687210088314,0.0,0.39192005557229237,-0.23579025268552556
3.0,-0.4335478200860621,-0.8810866315923533,-0.7477783651774814,-0.5691572794782331,-0.6290996659166268,-0.6318472407743059,-0.4295348175340905,-0.39756150627094655,0.0,-0.8837681271643234,-1.1020556251115607,-0.9927960960669822,-0.6850488369680932,-0.8431748808456803,-0.8631001545503096,-0.6848108367199046,-0.7137621893997306,0.0,-1.110417705265057,-0.030397075539909224,0.4460895482581151,0.14019367844058195,0.07816974863177961,0.0144251837991618,-0.1639694529191189,0.0,-0.016801158725051835,0.47240122324930667,0.166971641960302,0.10338616665548273,0.017624954306569407,-0.1668245969978841,0.0,0.024963290614316236,-0.2832573042654616,-0.3390136152608392,-0.3712340520077646,-0.5286442149759978,0.0,-0.45113165021758306,-0.06166784281633397,-0.1294058588206184,-0.3075165192123279,0.0,-0.1513549027107004,-0.07975465194321885,-0.2619138052087351,0.0,-0.08142676018176331,-0.19670451590322102,0.0,0.10784708133063958,0.0,0.34833629498235297,0.662067413330071
4.0,-0.249070090018364,-0.09274982641814233,-0.39358439558208147,-0.7349262937305383,-0.5252719054229829,-0.5482731620226673,-1.2255901163745477,-1.3050770626340409,0.0,-0.08543191908848513,-0.44073963519799975,-0.7540984365341075,-0.968636088708223,-0.8533861063896779,-0.8912475134704749,-1.5706033719004608,-1.702751572941608,0.0,-0.4388854724781126,-0.4036648963192846,-0.39254262896103853,-0.45722459750932387,-0.5339664613382809,-1.3499013527859347,-1.6194644635439488,0.0,-0.008336949133230576,-0.014038442417714236,-0.07061291137921444,-0.1539654387298981,-1.0725078876041465,-1.366708406303502,0.0,0.4470318843285881,-0.02629506158658046,-0.10674692057129676,-1.0498419132045598,-1.334443363941844,0.0,0.516252760294428,-0.08357926476435296,-1.024426205493583,-1.3200131477844934,0.0,0.5355082884645341,-0.9567705727019842,-1.2575908396800628,0.0,0.6300527778171485,-0.33059392277091604,0.0,1.8227429391354164,0.0,2.163370312607775,1.5389823913574716
5.0,-0.029425760568273063,0.29824843774835585,0.00750425618852546,-0.3629605453498925,-0.13097774155033903,-0.14906981375935402,-0.8106701752129055,-0.8736167321728914,0.0,0.3065904713579002,-0.20097703448817583,-0.49052404432373464,-0.7369488802925446,-0.594870996109492,-0.6250639068114481,-1.262528108619506,-1.3682973659890223,0.0,-0.1978405811084869,-0.3665785369652923,-0.3455072354246056,-0.4112165787922919,-0.4820776164167171,-1.2232197505464768,-1.4724497712521725,0.0,-0.00860338600740107,-0.004224301890275228,-0.06273208317155365,-0.14078437878748673,-0.9910655590520747,-1.2673594337531853,0.0,0.4132753884467988,-0.013672631263048629,-0.08723410108950702,-0.9714164759056132,-1.2328102404668044,0.0,0.4976958198379222,-0.0779785537053499,-0.9549902967322623,-1.2319062415332809,0.0,0.49842924884230655,-0.8940300868764268,-1.1773405816461775,0.0,0.5880095977890605,-0.3217409277390999,0.0,1.7815100307631653,0.0,2.1401699676823753,2.0245666503906747
6.0,-0.025336107081415093,0.7663772491011969,-0.0429187665742603,-0.9119423715199986,-0.49533367170013776,-0.5401687147068372,-2.1343250088603867,-2.3700722944538484,0.0,0.7789915875294042,0.2643379053080963,-0.5435054658296394,-1.288541062850726,-0.9617531521447518,-1.0186376104920924,-2.588170489228432,-2.8665571230211384,0.0,0.27175149079897665,-0.8463507601379661,-1.301286155337806,-1.1915876816035365,-1.2844444847940508,-2.879067192713336,-3.283886794443731,0.0,-0.004807225227807521,-0.5048034909659691,-0.3779163215375547,-0.4832323685132849,-2.274166784936199,-2.7251112369443717,0.0,0.9401051538688563,0.16556181503710832,0.058195994472441726,-1.8362390080291817,-2.2951071565029935,0.0,1.5598752843743142,-0.10836863250825957,-1.97245709875871,-2.4348959505860677,0.0,1.369836490337903,-1.884103830317315,-2.352886762140642,0.0,1.492022205658614,-0.513264283079053,0.0,3.735312798959498,0.0,4.222522107279971,2.4987030029296733
7.0,0.01650684637938582,0.8405656995302735,0.03311947683900485,-0.8411571309328849,-0.4207559725482355,-0.46464438272261077,-2.0554637890216014,-2.288258794311446,0.0,0.8533618336501689,0.3097167632476072,-0.4936628507244052,-1.2444783618577873,-0.9130406042659018,-0.9684527428270826,-2.529662368223441,-2.8032223423446254,0.0,0.3173613384120131,-0.839382645174851,-1.2921427691599519,-1.1830947803288012,-1.2748227678638244,-2.8549044808003146,-3.2560598694329883,0.0,-0.0048709519711849225,-0.5026573340831533,-0.3765911133066311,-0.48088926212911076,-2.2585344647727794,-2.706277831751393,0.0,0.9337618764892284,0.1675051505637839,0.061462552588324115,-1.8214168039894503,-2.276065439999698,0.0,1.556110408668303,-0.10729539928833276,-1.9589597434941197,-2.4180583287747197,0.0,1.3630489793478375,-1.87188516579333,-2.3375473316405078,0.0,1.4842807059850713,-0.5117784025418928,0.0,3.7273491150717746,0.0,4.218198604381726,2.5908927917480753
